이름,주의사항,성분
플래티넘키즈생유산균19,알레르기 체질이신 분은 원료 성분을 확인하신 후 섭취하십시오. 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시고 이상반응이 있을 시 제품에 기재된 고객상담실로 문의하십시오.,"유산균혼합분말, 산화아연, 유산균혼합분말, 채소혼합농축액분말, 베리혼합농축액분말, 비트루트농축액분말, 치커리뿌리추출물분말, 딸기과즙분말, 딸기분말, 유당혼합분말, 프락토올리고당, 포도당, 과일혼합농축액분말, 김치유산균추출분말, 비타민 C, 구연산, 스테아린산마그네슘"
코엔자임Q10항산화플러스,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"비타민 B2, 비타민 B1염산염, 코엔자임 Q10(고시형), d-α-토코페롤, 혼합제제, 레티닐 팔미트산염 혼합제제, 비타민 B6 염산염, 식용색소청색제1호, 식용색소황색제4호, 식용색소황색제5호, 식용색소적색제2호, 식용색소적색제3호, 식용색소적색제40호, 에틸바닐린, 이산화티타늄, D-소르비톨액, 글리세린, 젤라틴, 포도종자추출물, 판토텐산칼슘, 생선콜라겐, 오자추출분말, 포도씨유, 콩기름(대두유)"
플래티넘 코엔자임Q10 코큐텐,"알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.
당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","코엔자임 Q10(고시형), 건조효모, 니코틴산아미드, 산화아연, 판토텐산칼슘, 아셀렌산나트륨, 비오틴, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 엽산, 젤라틴, 식용색소청색제1호, 에틸바닐린, 식용색소적색제40호, 식용색소적색제2호, 식용색소적색제3호, 식용색소황색제5호, 식용색소황색제4호, 이산화티타늄, D-소르비톨액, 글리세린, 콩기름(대두유), 포도씨유, 대두레시틴, 영지버섯자실체추출물분말, 생선콜라겐, 블루베리농축분말"
유산균 락티스 비에이치10,,Lactococcus lactis(고시형)
루테인11,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","엽산, 비타민 B6 염산염, 레티닐 팔미트산염 혼합제제, 비타민 B12, 황산동, 아셀렌산나트륨, 황산망간, 산화아연, 니코틴산아미드, d-α-토코페롤, 루테인(고시형), 식용색소적색제40호, 에틸바닐린, 이산화티타늄, D-소르비톨액, 글리세린, 젤라틴, 식용색소적색제3호, 식용색소적색제2호, 식용색소황색제5호, 식용색소청색제1호, 식용색소황색제4호, 콩기름(대두유), 대두레시틴, 밀납, 포도씨유"
징크비타B12 오리지날,"1. 알레르기 체질이신 분은 성분을 확인한 후 섭취하십시오.
2. 질환보유자 또는 약물복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.","비타민B12(고시형), 산화아연(고시형), 프로폴리스추출물분말, 이산화티타늄, 치자황색소, 이산화규소, 스테아린산마그네슘, 크랜베리농축액분말, 회화나무열매추출물(기능성원료인정제2011-26호), 홍삼농축액분말, 히드록시프로필메틸셀룰로오스, 결정셀룰로오스, 석류농축분말"
삼성MSM100순식물성,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"디메틸설폰(Methyl sulfonylmethane, MSM)분말(고시형)"
유산균 루테리 비에이치11,,Limosilactobacillus reuteri(고시형)
홍삼농축액10,"알레르기 체질인 경우 성분을 확인 후 섭취여부를 결정하여야 하며, 의약품(당뇨치료제, 혈액 항응고제) 복용시 섭취에 주의. 
제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의.",홍삼(고시형)
비피더스균 브레브 비에이치12,,Bifidobacteriumbreve(고시형)
스텐 업(S10-UP),알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"산화아연, 옥타코사놀(고시형), 니코틴산아미드, 판토텐산칼슘, 비타민 B2, 비타민 B1염산염, 비타민 B6 염산염, 젤라틴, 글리세린, D-소르비톨액, 이산화티타늄, 에틸바닐린, 식용색소적색제40호, 식용색소적색제3호, 식용색소적색제2호, 식용색소황색제5호, 식용색소황색제4호, 식용색소청색제1호, 홍삼분말, 황산망간, 마카분말, 열풍건조자라분말, 마늘추출물분말, 복분자추출물분말, 밀납, 대두레시틴, 콩기름(대두유), 정제어유"
종합비타민미네랄15,,"혼합제제, 비오틴, 비타민 D3 혼합제제분말, 비타민 B6 염산염, 비타민 B1염산염, 비타민B2(고시형), 엽산(고시형), 분말비타민A혼합제제, 황산망간, 산화아연, 니코틴산아미드, 판토텐산칼슘(고시형), 비타민C(고시형), DL-알파-토코페릴초산염 혼합제제, 분말비타민B12혼합제제, 베리혼합분말, 과일채소혼합분말, 히드록시프로필메틸셀룰로오스, 카르복시메틸셀룰로오스나트륨, 스테아린산마그네슘, 이산화규소, 결정셀룰로오스, 유당혼합분말"
프로바이오틱스11,"특정질환이 있거나 특이체질, 알레르기 체질이신 분은 섭취 전 원료명을 확인하시고 의사, 약사 등 전문가와 상담 후 섭취여부를 결정하십시오. 섭취자의 신체 상태에 따라 특이반응이 나타날 경우 섭취를 중단하십시오. 어린이의 경우 보호자의 보호 아래 섭취시켜 주십시오. 제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.","산화아연, 유산균혼합분말, 비타민B12, 혼합제제, 판토텐산칼슘, 니코틴산아미드, 스테아린산마그네슘, Clostridium butyricum strain Miyairi, 수크랄로스, 비타민 B2, 식물성크림, 분말결정포도당, 딸기향분말, 비타민 C, 프락토올리고당, 딸기과즙분말, 치커리뿌리추출물분말, 이산화규소, Bacillus subtilis"
징크비타B12,"1. 알레르기 체질이신 분을 성분을 확인한 후 섭취하시기 바랍니다. 
2. 질환보유자 또는 약물 복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.
3. 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.","산화아연(고시형), 비타민B12(고시형), 결정셀룰로스, 석류농축분말, 히드록시프로필메틸셀룰로스, 홍삼농축액분말, 회화나무열매추출물, 크랜베리농축액분말, 스테아린산마그네슘, 이산화규소, 치자황색소, 이산화티타늄, 프로폴리스추출물분말"
플래티넘징코플러스11,"① 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의 ② 의약품(항응고제) 복용 시 섭취에 주의





특히 6세 이하는 과량섭취하지 않도록 주의","은행잎추출물분말, 건조효모(셀렌함유), 니코틴산아미드(고시형), 푸마르산제일철(고시형), 판토텐산칼슘(고시형), 산화아연(고시형), 황산망간(고시형), 비타민 B6 염산염, 비타민 B1염산염, 비타민B2(고시형), 황산동(고시형), 울금추출분말, 해조칼슘, 엽산, 코엔자임 Q10(고시형), 결정셀룰로오스, 유당혼합분말, 이산화규소, 스테아린산마그네슘, 카르복시메틸셀룰로오스나트륨, 히드록시프로필메틸셀룰로오스, 흑마늘, 영지버섯자실체추출물분말"
홍삼농축액14,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼농축액(고시형)
장에좋은프리미엄생유산균19,"특정질환이 있거나 특이체질, 알레르기 체질이신 분은 섭취 전 원료명을 확인하시고 의사, 약사 등 전문가와 상담 후 섭취여부를 결정하십시오. 섭취자의 신체 상태에 따라 특이반응이 나타날 경우 섭취를 중단하십시오. 어린이의 경우 보호자의 보호 아래 섭취시켜 주십시오. 제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.","산화아연, 유산균혼합분말, 유산균혼합분말, 자당지방산에스테르, 빙초산, 이산화티타늄, 정제수, 젤라틴, 판토텐산칼슘, 갈락토올리고당, 프락토올리고당, 락툴로즈, 치커리뿌리추출물분말, 제삼인산칼슘, 옥수수전분, 유당분말, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염"
유산균 페칼리스 비에이치16,,"Enterococcus faecalis(고시형), 말토덱스트린"
유산균 헬베티쿠스 비에이치14,,Lactobacillus helveticus(고시형)
플래티넘 루테인11,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,"레티닐 팔미트산염 혼합제제, 비타민 B6 염산염, 비타민 B2, 엽산, 루테인(고시형), 니코틴산아미드, 산화아연, 황산망간, 아셀렌산나트륨, 황산동, 비타민 B12 혼합제제분말, 식용색소적색제2호, 식용색소적색제3호, 식용색소적색제40호, 에틸바닐린, 이산화티타늄, D-소르비톨액, 글리세린, 젤라틴, 식용색소청색제1호, 식용색소황색제4호, 식용색소황색제5호, 콩기름(대두유), 포도씨유, 밀납, 대두레시틴, 결명자추출물분말, 블루베리농축분말, 헤마토코쿠스추출물(고시형), 과일채소혼합분말, 식물혼합추출물분말"
루테인12,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 B12 혼합제제분말, 황산동, d-α-토코페롤, 아셀렌산나트륨, 황산망간, 산화아연, 니코틴산아미드, 마리골드꽃추출물(고시형), 엽산, 비타민 B2, 비타민 B6 염산염, 레티닐 팔미트산염 혼합제제, 식용색소적색제40호, 식용색소적색제2호, 에틸바닐린, 이산화티타늄, D-소르비톨액, 젤라틴, 글리세린, 식용색소황색제5호, 식용색소청색제1호, 식용색소황색제4호, 식용색소적색제3호, 콩기름(대두유), 포도씨유, 밀납, 대두레시틴, 블루베리농축분말, 결명자추출물분말, 식물혼합추출물분말, 헤마토코쿠스추출물(고시형), 미르틸루스산앵도열매추출물분말"
오늘부터꼬옥코엔자임Q10,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"비타민 B1염산염, 엽산, 비타민 B2, 비타민 B6 염산염, 비오틴, 아셀렌산나트륨, 판토텐산칼슘, 산화아연, 니코틴산아미드, 건조효모, 코엔자임 Q10(고시형), 식용색소황색제5호, 식용색소적색제3호, 식용색소적색제2호, 식용색소적색제40호, 에틸바닐린, 식용색소청색제1호, 젤라틴, 글리세린, D-소르비톨액, 이산화티타늄, 식용색소황색제4호, 콩기름(대두유), 포도씨유, 레시틴, 영지버섯자실체추출물분말, 생선콜라겐, 블루베리농축분말"
코큐텐11,"(가) 당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","코엔자임 Q10(고시형), 니코틴산아미드, 건조효모, 산화아연, 판토텐산칼슘, 아셀렌산나트륨, 비오틴, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 엽산, 식용색소황색제4호, 이산화티타늄, D-소르비톨액, 글리세린, 젤라틴, 식용색소청색제1호, 에틸바닐린, 식용색소적색제40호, 식용색소적색제2호, 식용색소적색제3호, 식용색소황색제5호, 블루베리농축분말, 생선콜라겐, 영지버섯자실체추출물분말, 레시틴, 포도씨유, 콩기름(대두유)"
올바른 루테인12,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,"엽산, 비타민 B2, 비타민 B6 염산염, 레티닐 팔미트산염 혼합제제, 아셀렌산나트륨, 황산망간, 산화아연, 니코틴산아미드, 마리골드꽃추출물(고시형), d-α-토코페롤, 황산동, 비타민 B12 혼합제제분말, 식용색소적색제3호, 식용색소적색제40호, 식용색소황색제4호, 식용색소청색제1호, 식용색소황색제5호, 글리세린, 젤라틴, D-소르비톨액, 이산화티타늄, 에틸바닐린, 식용색소적색제2호, 식물혼합추출물분말, 헤마토코쿠스추출물(고시형), 미르틸루스산앵도열매추출물분말, 콩기름(대두유), 포도씨유, 밀납, 레시틴, 블루베리농축분말, 결명자추출물분말"
천연스토리 엽산+비타민B12+비타민D+프로바이오틱스,"특정질환이 있거나 특이체질, 알레르기 체질이신 분은 섭취 전 원료명을 확인하시고 의사, 약사 등 전문가와 상담 후 섭취여부를 결정하십시오. 섭취자의 신체 상태에 따라 특이반응이 나타날 경우 섭취를 중단하십시오. 어린이의 경우 보호자의 보호 아래 섭취시켜 주십시오. 제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오","유산균혼합분말, 유산균혼합분말, 비타민 D 혼합, Bifidobacterium longum, Lactobacillus rhamnosus, Lactobacillus helveticus, 비타민B12혼합제제분말, Lactobacillus plantarum, 메틸테트라히드로엽산글루코사민, 치커리뿌리추출물분말, 블루베리농축분말, 자일리톨, 포도당, 건조효모(아연함유), 구연산, 프락토올리고당, 과일채소혼합분말, Lactobacillus plantarum"
Omega 3 1000mg(전량수출용),"특정질환이 있거나 특이체질, 알레르기 체질이신 분은 섭취 전 원료명을 확인하시고 의사, 약사 등 전문가와 상담 후 섭취여부를 결정하십시오. 섭취자의 신체 상태에 따라 특이반응이 나타날 경우 섭취를 중단하십시오. 어린이의 경우 보호자의 보호 아래 섭취시켜 주십시오. 제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.","정제어유, 젤라틴, 글리세린, D-소르비톨액, 에틸바닐린"
네이처드림 장에좋은 생유산균12,"① 알레르기 반응이 나타나는 경우에는 섭취 중단하십시오.
② 원료의 특성상 흡습으로 인하여 변빌될 수 있으니 개봉 후 즉시 섭취하십시오.
③ 알레르기 체질이신 분은 원료 성분을 확인하고 섭취하십시오.
④ 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으므로 주의하십시오.
⑤ 섭취 전 제품에 이상이 있는 경우 섭취하지 마십시오.","프로바이오틱스분말(고시형), 스테아린산마그네슘, D-소비톨, 요구르트향분말, 요구르트 혼합, 프락토올리고당, 식물성크림, 포도당, 비타민 D3 혼합분말, 산화아연, DL-사과산, 유청칼슘, 용설란시럽, 블루베리농축분말, 초유분말, 자일리톨, 이산화규소"
